0;0.000000
1;1.423017
2;2.844301
3;4.262119
4;5.674744
5;7.080456
6;8.477541
7;9.864297
8;11.239036
9;12.600081
10;13.945775
11;15.274479
12;16.584573
13;17.874461
14;19.142571
15;20.387360
16;21.607309
17;22.800934
18;23.966779
19;25.103424
20;26.209485
21;27.283613
22;28.324500
23;29.330879
24;30.301522
25;31.235247
26;32.130918
27;32.987441
28;33.803775
29;34.578923
30;35.311943
31;36.001941
32;36.648075
33;37.249560
34;37.805662
35;38.315703
36;38.779063
37;39.195176
38;39.563536
39;39.883694
40;40.155260
41;40.377903
42;40.551351
43;40.675395
44;40.749881
45;40.774720
46;40.749881
47;40.675395
48;40.551351
49;40.377903
50;40.155260
51;39.883694
52;39.563536
53;39.195176
54;38.779063
55;38.315703
56;37.805662
57;37.249560
58;36.648075
59;36.001941
60;35.311943
61;34.578923
62;33.803775
63;32.987441
64;32.130918
65;31.235247
66;30.301522
67;29.330879
68;28.324500
69;27.283613
70;26.209485
71;25.103424
72;23.966779
73;22.800934
74;21.607309
75;20.387360
76;19.142571
77;17.874461
78;16.584573
79;15.274479
80;13.945775
81;12.600081
82;11.239036
83;9.864297
84;8.477541
85;7.080456
86;5.674744
87;4.262119
88;2.844301
89;1.423017
90;0.000000
