Ar,Argon,3.542,93.3
He,Helium,2.551,10.22
Ar,Air,3.711,78.6
CH4,Methane,3.758,148.6
CO,Carbon monoxide,3.69,91.7
C2H6,Ethylene,4.163,224.7
C2H5OH,Ethanol,4.53,362.6
CH3COCH3,Acetone,4.6,560.2
C6H6,Benzene,5.349,412.3
H2,Hydrogen,2.827,59.7
H2O,Water,2.641,809.1
NH3,Ammonia,2.9,558.3
